ID_scenario,CreatedBy,Department,Created,LastEdit,isActive,isAiUsed,isAiAgentUsed
1,EMPLOYEE_01,Customer support,24/4/2025,24/4/2025,1,0,0
2,EMPLOYEE_01,Customer support,24/4/2025,24/4/2025,1,0,0
3,EMPLOYEE_02,Customer support,12/7/2025,7/12/2025,1,0,1
4,EMPLOYEE_02,Customer support,12/7/2025,7/12/2025,1,0,0
5,EMPLOYEE_03,Customer support,16/2/2026,17/2/2026,0,0,0
6,EMPLOYEE_03,Customer support,10/2/2026,10/2/2026,0,0,0
7,EMPLOYEE_03,Customer support,15/12/2025,15/12/2025,0,0,0
8,EMPLOYEE_03,Customer support,4/2/2026,4/2/2026,0,0,0
9,EMPLOYEE_03,Customer support,2/2/2026,2/2/2026,0,0,0
10,EMPLOYEE_03,Customer support,20/2/2026,20/2/2026,1,0,0
11,EMPLOYEE_03,Customer support,19/1/2026,20/2/2026,1,0,0
12,EMPLOYEE_03,Customer support,19/12/2025,6/1/2026,0,1,0
13,EMPLOYEE_03,Customer support,27/2/2026,27/2/2026,0,0,0
14,EMPLOYEE_03,Customer support,26/2/2026,26/2/2026,0,0,0
15,EMPLOYEE_03,Customer support,25/2/2026,25/2/2026,1,0,0
16,EMPLOYEE_03,Customer support,13/10/2025,12/12/2025,1,0,0
17,EMPLOYEE_03,Customer support,26/2/2026,3/3/2026,1,0,0
18,EMPLOYEE_03,Customer support,26/2/2026,27/2/2026,1,0,0
19,EMPLOYEE_03,Customer support,26/2/2026,27/2/2026,1,0,0
20,EMPLOYEE_03,Customer support,26/2/2026,26/2/2026,1,0,0
21,EMPLOYEE_03,Customer support,25/2/2026,25/2/2026,0,0,0
22,EMPLOYEE_03,Customer support,25/2/2026,25/2/2026,0,0,0
23,EMPLOYEE_03,Customer support,29/9/2025,3/11/2025,0,0,0
24,EMPLOYEE_03,Customer support,4/11/2025,4/11/2025,0,0,1
25,EMPLOYEE_03,Customer support,21/10/2025,21/10/2025,0,1,0
26,EMPLOYEE_03,Customer support,31/10/2025,18/12/2025,0,0,0
27,EMPLOYEE_03,Customer support,8/10/2025,8/10/2025,0,0,0
28,EMPLOYEE_03,Customer support,4/2/2026,9/2/2026,0,0,0
29,EMPLOYEE_03,Customer support,28/1/2026,29/1/2026,0,0,0
30,EMPLOYEE_03,Customer support,16/1/2026,16/1/2026,0,0,0
31,EMPLOYEE_03,Customer support,16/1/2026,16/1/2026,0,0,0
32,EMPLOYEE_03,Customer support,2/12/2025,2/12/2025,0,1,0
33,EMPLOYEE_03,Customer support,20/2/2026,20/2/2026,0,0,0
